k,Filtration,Total Persistence,Total Persistence Std,Entropy,Entropy Std
2,Gudhi VR implementation,-,-,1.0,0.0
2,Degree,0.463,0.018,0.553,0.022
2,VR,-,-,-,-
2,OR,0.833,0.0,0.653,0.022
2,Betweenness,0.59,0.015,0.653,0.022
2,Laplacian,0.667,0.0,0.57,0.028
2,Sum density cycles,0.663,0.035,0.697,0.028
5,Gudhi VR implementation,-,-,1.0,0.0
5,Degree,0.693,0.025,0.52,0.027
5,VR,-,-,-,-
5,OR,0.9,0.026,0.93,0.023
5,Betweenness,0.633,0.026,0.667,0.015
5,Laplacian,0.937,0.01,0.793,0.02
5,Sum density cycles,0.943,0.015,0.617,0.031
10,Gudhi VR implementation,-,-,1.0,0.0
10,Degree,0.943,0.042,0.937,0.023
10,VR,-,-,-,-
10,OR,0.923,0.015,0.687,0.031
10,Betweenness,0.763,0.028,0.737,0.028
10,Laplacian,1.0,0.0,0.977,0.021
10,Sum density cycles,0.97,0.028,0.76,0.036
15,Gudhi VR implementation,-,-,1.0,0.0
15,Degree,0.757,0.026,0.907,0.02
15,VR,-,-,-,-
15,OR,0.86,0.029,0.577,0.047
15,Betweenness,0.853,0.022,0.937,0.023
15,Laplacian,1.0,0.0,1.0,0.0
15,Sum density cycles,0.95,0.017,0.753,0.027
20,Gudhi VR implementation,-,-,1.0,0.0
20,Degree,0.86,0.02,0.863,0.028
20,VR,-,-,-,-
20,OR,0.967,0.0,0.727,0.029
20,Betweenness,0.84,0.02,0.893,0.02
20,Laplacian,0.96,0.013,0.97,0.01
20,Sum density cycles,0.887,0.022,0.913,0.022
