0.1,0.3,0.5,0.8,1.0,1.3,1.5
29.925,175.285,308.64,388.95,399.0,399.0,399.0
24.9,189.485,321.95,392.405,399.0,399.0,399.0
31.28,197.31,324.045,392.3,399.0,399.0,399.0
62.05,198.06,298.82,393.82,399.0,399.0,399.0
18.585,161.395,302.945,395.19,399.0,399.0,399.0
27.175,151.715,283.575,382.705,399.0,399.0,399.0
29.9,173.54,303.91,388.66,399.0,399.0,399.0
31.655,186.9,315.4,390.31,399.0,399.0,399.0
32.095,167.85,279.67,379.555,398.555,399.0,399.0
26.655,163.12,284.755,385.91,399.0,399.0,399.0
9.375,95.365,245.35,372.47,399.0,399.0,399.0
8.705,85.66,231.66,384.01,398.78,399.0,399.0
7.14,63.825,176.865,373.835,398.95,399.0,399.0
4.915,42.88,118.935,311.88,395.4,399.0,399.0
6.26,88.54,246.625,375.62,398.775,399.0,399.0
16.145,149.4,263.085,353.645,398.99,399.0,399.0
4.34,39.655,117.09,287.69,383.51,399.0,399.0
6.495,57.89,148.565,327.7,399.0,399.0,399.0
10.56,90.31,215.565,387.245,399.0,399.0,399.0
4.865,44.6,122.145,315.28,396.765,399.0,399.0
12.365,103.905,261.47,390.515,398.625,399.0,399.0
17.85,116.475,293.975,392.855,398.615,399.0,399.0
18.065,112.44,246.525,381.99,397.65,399.0,399.0
18.39,139.37,305.71,388.54,398.885,399.0,399.0
15.775,94.09,238.61,380.945,396.85,399.0,399.0
20.14,137.155,316.125,393.155,398.8,399.0,399.0
13.3,94.66,238.185,382.27,397.93,399.0,399.0
24.52,180.14,340.765,395.725,398.97,399.0,399.0
18.265,127.185,302.37,387.79,398.725,399.0,399.0
16.74,109.25,286.62,385.305,398.67,399.0,399.0
